product_name,brand,sugars
"Hazelnut, Caramelised Cashew & Pistachio Milk Chocolate",Waitrose,35.3
Poulain Bio 34 % de cacao,POULAIN,66.0
Barre amande,Gerblé,57.0
Menier Pâtissier Tablette,"Nestlé, Menier",47.6
Sirop citron vert et menthe,Pulco,30.9
Roasted Cashew-Peanut-Mix Honey & Salt,"Alesto, Lidl",35.5
Crunchy Cranberry & Raspberry - Santé,Sante A. Kowalski sp. j.,36.0
,,59.0
,,56.6
Mikado chocolat au lait,"Glico, LUMondelez, Mikado",33.0
Pain d'épices miel,Bjorg,40.0
Tablette Kinder Chocolat Chocolat au Lait x16 -200g,"Kinder, Mixte",53.3
sucre cassonade,begin say,100.0
"BN - Cookies - Mini Strawberry x 5, 175g (6.2oz)",BN,32.8
chocolat NESTLE DESSERT Noir 2X205g,"Nestlé dessert, Tablettes",46.4
Chocolat noir aux écorces d'orange,Alter Eco,46.0
Cereales de chocolate y avellana,Hacendado,38.0
Pâte à tartiner aux noisettes et au cacao,Bonne Maman,51.0
Caramelo,Milka,51.0
Nutella Hazelnut Spread With Cocoa,"Ferrero, Nutella",56.8
Raw Fruit & Nut Bar,Naked,49.0
Fine cut Oxford marmalade,Frank Cooper's,56.0
Quality Street,Nestlé,57.7
Crema con avellanas,"Darlet, Ibercacao",63.0
Kango,"Kango, LU",34.0
Pack Sucre en Poudre 650g,Saint louis,100.0
HAZELNUT CHOCOLATE SPREAD,Choco nussa,42.2
sweet chilli sauce imp,blue dragon,54.7
Leka Cream,michoc,60.6
Mejora,mejora,54.0
,Excelo,56.3
Financiers amandes,Bonne Maman,38.0
Pâte à tartiner 18.5% Bio - 350g,Ivoria,52.0
Ahornsirup,Maple joe,66.0
Bio agave syrup,SYRUP,76.0
Nuts'n Berries,Seeberger,36.0
Storck Caramel Popcorn Classic 140g,Werther's Original,53.2
Ovomaltine Crunchy Cream,Ovomaltine,50.1
Frosties,Kellogg’s,37.0
Cashew Crush Raw Fruit & Nut Bars,Alesto,35.7
Jolay,Alimani,57.64
Pitted Prunes,Alesto,43.9
Bonne maman pate a tartiner noisettes et cacao,Bonne Maman,51.0
Pâte à tartiner aux noisettes,"Aldi, Simplement Bon Et Bio",52.0
,Storck,34.2
,ETi,37.0
Almond And apricot with a yoghurt coating fruit and nut bar,Eat natural,31.2
Confiture de Framboise 70%,Léonce Blanc,36.0
Original,Nocilla,56.0
Les Grandes 34% Hazelnut Dark,Lindt,38.0
Silvia Duo Cacao,Excelo,33.0
Lemon curd,Bonne Maman,53.0
biscuit chocolat au lait,,33.0
Petit beurre tablette Chocolat noir,"Carrefour BIO, Carrefour",35.0
Prince goût chocolat,"LU, Mondelez, Prince",32.0
Etui Bec Verseur Sucre en Poudre Saint Louis Sucre 1kg,Saint louis,100.0
Panettone Classico,Favorina,30.4
Fruit Stick Framboise,"N.A!, Nature Addicts",65.0
Marmelade Oranges🍊 Amères  Bonne Maman,Bonne Maman,59.0
CremaNovi,Novi,40.7
Mister Choc façon Spéculos,"Lidl, mister choc",30.6
Tesco Pure Clear Honey 454G,Tesco,81.0
Confiture d'abricots,Aicha,62.0
Fajita Mix Smoky BBQ imp,Old El Paso,55.0
Tobigo,Tobigo,33.0
Twix 5x2,"Twix, Mars",48.0
,Maltesers,53.0
Semillas de chía,Hacendado,40.0
,Bonne Maman,32.0
Doonuts,St Michel,31.0
180G AMAN CARA COTE D OR,Côte d'Or,51.0
Lait entier en poudre,Régilait,38.0
Poudre cacaotée bio 32% de cacao Max Havelaar,"Bio Village, Marque Repère",67.0
Sirop de grenadine,Moulin de Valdonne,83.0
Jaffa Cakes,"Lidl, Sondey",47.0
Avellanas Enteras,Milka,45.0
Black Treacle,"Abram Lyle & Sons, Lyle, Tate and Lyle",66.8
Runny Honey,lidl,79.7
Gently baked mango,urban fruit,57.0
Yoyos Raspberry Multipack 5 x,"Bear, Bear Nibbles",42.0
Sweet chilli,Heinz,42.0
Tobigo,Tobigo,34.0
,Lucien Georgelin,49.0
Le Biscuit De Natty,Bjorg,34.0
MINI BN Chocolat,BN,30.6
Préparation Abricot Pomme,Lucien Georgelin,43.0
Maille Vinaigre Balsamique de Modène 25 cl,"Maille, Unilever",32.0
Cioccolato al latte,"LU, Mikado",34.0
Pâte à tartiner aux noisettes,Bio Village,54.0
Choco Biscuits,Milka,41.0
Vegan hazelnootpasta,"Lidl, Vemondo",46.7
St Dalfour Mermelada de Frambuesa,st dalfour,44.0
Dark Chocolate Almond Sea Salt 51%,Tony's Chocolonely,42.0
Organic honey,Rowse,80.8
Sandwichs Choc,excelo,51.75
La Paille d'Or aux fraises,"LU, Mondelez",51.0
Gaufres caramel bio,Bjorg,45.0
Pâte à tartiner aux noisettes sans huile de palme 350g,"U, U Bio",56.0
