brand,product_code
Dark Excelente,1
Dark Excellente,1
"Darlet, Ibercacao",1
Dash,1
Date Crown,1
Daunat,5
Dave's Killer Bread,6
Dawtona,2
De Cecco,5
DeBeukelaer,1
Dee Thai,1
Del Monte,2
"Delabli, l'atelier Blini",1
Delacre,4
"Delacre, Ferrero",2
Deli Kitchen,2
Deli Originals Fresh,1
"Deli, Deli Reform, Walter Rau Lebensmittelwerke",1
Delicia,5
Delicious Desserts,1
Deliciously Ella,10
"Delikato, Jütro",1
"Delikato,Jütro",1
Deliplus,3
Delpierre,2
Delta,2
Deluxe,10
Deluxe (LIDL),1
"Deluxe, Lidl",2
"Deluxe, Lidl, Lidl Deluxe",1
"Deluxe,Lidl",2
Dessaint,1
"Deutsche Extrakt Kaffee, REWE, ja!",1
Devin,3
"Diet pepsi, Pepsi zero, Pepsico",1
Digestive,1
Dima,1
DmBio,6
"DmBio, dm",2
"DmBio, dm, dmBio (DM)",1
Dobrogea,1
"Dolca,Nestlé",1
Don Simón,7
Doritos,16
"Doritos, Dr Organic",1
"Doritos, Multibev, PepsoCo",1
"Doritos, PepsiCo",1
"Doritos, Pepsico",1
"Doritos,Frito Lay",1
"Doritos,Walkers",1
Dorna,1
Dorolina,1
Dorset Cereals,4
Dorset cereals,4
Dost,4
"DouceurⓇ, Knorr®",1
Doves Farm,2
Doves farm,1
Dovgan,1
Dr Wills,1
Dr. Karg's,2
Dr. Oetker,11
"Dr. Oetker, ANCEL",1
"Dr. Oetker, Ancel",2
"Dr. Oetker, Cameo",1
"Dr. Oetker, Fertigessen",1
"Dreistern, S.Pellegrino",1
Duc De Coeur,1
Duc de Coeur,1
"Duc de coeur, Harvest Basket, frisan",1
Ducros,5
Dulano,5
Dulano Lidl,1
Dulano Selection,1
Dulcesol,1
"Dulcesol, Vicky Foods",1
Dulcinea,4
Dunn's River,1
"Duplo,Ferrero",1
Duval,1
Délice,2
"Délice, Danone,",1
"Délice,Danone",1
"Délices de Kerloch, Sondey",1
Délicia,6
Délisse,1
"Délisse, Marque Repère",10
"Délisse, Marque Repère, Leclerc",1
"Délisse, Marque Repère, Scamark (Filiale E. Leclerc)",2
"Délisse,Marque Repère",1
"E.Leclerc, Eco +, Eco+, Leclerc",1
ECOMIL,1
EL BARAKA,1
ENTREMONT,1
ENVIA,2
"ENVIA, milbona",1
EPI D'OR,1
ETHIQUABLE,1
"ETHNOSCIENCE, Ecoidées",1
ETi,1
EXCELO,1
Eagle,1
Eastman's Deli Foods,1
Eat Natural,8
Eat Plants Free of Palm,1
Eat Real,8
Eat natural,1
Eau Minérale,1
"Eau de Beckerich, Rocheval, Source Ophélie",1
Eau minérale naturelle,1
Eau minérale naturelle des Montagnes d'Atlas,1
Ebly,4
"Ebro Foods, Panzani",3
"Ebro Foods, Panzani, Panzani les 3 Minutes",1
"Ebro Foods, Panzani, Regia",1
Eco Mil,1
Eco+ Leclerc eco,1
Ecomil,2
"Edeka, Gut & Günstig",1
Efsane,1
Eggo,1
Ehrmann,3
"Ekibio, Le Pain des Fleurs",1
"Ekibio, Le pain des fleurs",2
"Ekibio,Le Pain des Fleurs",1
"Ekibio,Le Pain des fleurs",1
"Ekibio,Le pain des Fleurs",1
Ekmek,1
El Baraka,3
"El Tequito, Freshona, El Tequito - Lidl",1
"El tequito, Snack Day",1
ElPozo,1
Elephant,4
Eliges,1
Elinas,1
Ella's kitchen,1
Elle & Vire,8
"Elle & Vire, Elle et Vire",1
"Elle & Vire, Elle&Vire International, Savencia",1
"Elle & Vire, Savencia",5
